date,title,source,contents,link
2022.06.01.,인천중기청 K-스마트 등대 공장 지원사업에 천일엔지니어링(주) 선정,브릿지경제,"인천중기청 K-스마트 등대 공장 지원사업에 천일엔지니어링(주) 선정 인공지능, 빅데이터, 디지털 트윈이 적용된 최고 수준의 지능형 공장 설비 구축을 위한 K-스마트 등대 공장 지원 사업에 인천의 천일엔지니어링(주)...",https://www.viva100.com/main/view.php?key=20220601010000135
2022.05.31.,"인천 천일엔지니어링, 'K-스마트 등대공장' 선정",인천in,사진=중소기업벤처부 인천지방중소벤처기업청은 올해 'K-스마트 등대공장'에 전국 11개 기업이 선정된 가운데 인천에서는 천일엔지니어링(주)이 선정됐다고 31일 밝혔다. 이 사업은 세계경제포럼(WEF)의 글로벌 등대공장을...,http://www.incheonin.com/news/articleView.html?idxno=88382
2022.06.02.,인천시 천일엔지니어링 ‘K-스마트 등대공장 지원사업’ 선정,한국정경신문,한국정경신문 김양훈 기­자 [한국정경신문(인천)=] 인천광역시는 남동구소재 천일엔지니어링(주)이 중소벤처기업부의 ‘K-스마트 등대공장 지원사업’에 최종 선정됐다고 2일 밝혔다. 이 사업은 국내 제조업의 고도화...,http://kpenews.com/View.aspx?No=2407049
2022.06.07.,로봇과 AI로 '스마트해지는' 인천 산업,인천일보,이어 6월에는 K-스마트 등대공장 지원사업에 남동구 소재 천일엔지니어링㈜이 선정됨에 따라 스마트공장 고도화 사업에 박차를 가하게 됐다. 이 사업은 국내 제조업의 고도화 방향을 제시하고 스마트공장의 모범사례...,http://www.incheonilbo.com/news/articleView.html?idxno=1147641
2022.03.29.,"美 GM, 우수협력사로 현대모비스 등 한국기업 25곳 선정",한국경제,"오스템과 천일정기화물자동차, 천일엔지니어링, 코아비스, 대용산업, 대원강업, 디티알, 디와이오토, 지엔에스케이텍, 일진글로벌, 제이피씨오토모티브, KCC글라스, 케이엠앤아이, 광진기계, 만도, 남선알미늄...",https://www.hankyung.com/economy/article/2022032975191
2022.03.18.,"기술력 인정 받은 25개 韓 부품사, 美 GM ‘올해의 협력사’ 선정",중앙일보,"천일엔지니어링 등 4개사, 오버드라이브상 특히 천일엔지니어링은 올해의 우수 협력사로 뽑히면서, 동시에 GM 오버드라이브 상(GM Overdrive Award)을 동시에 수상했다. 오버드라이브 상은 GM의 글로벌 구매·공급망...",https://www.joongang.co.kr/article/25056534
2022.06.02.,"인천시, 인공지능(AI) 기반 스마트공장 모델 제시",브레이크뉴스,인천시가 남동구 소재 천일엔지니어링(주)이 중소벤처기업부의 ‘K-스마트 등대공장 지원사업’에 최종 선정됐다고 밝혔다. 이 사업은 국내 제조업의 고도화...,http://www.breaknews.com/899465
2022.06.03.,"인천시, AI 기반 '스마트공장 모델' 제시…3년간 24억 원 투입",컨슈머타임스,인천시청  인천시는 남동구 소재 천일엔지니어링(주)이 중소벤처기업부의 'K-스마트 등대공장 지원사업'에 최종 선정됐다고 밝혔다. 이 사업은 국내 제조업의 고도화 방향을 제시하고 스마트공장의 모범사례 확산을...,http://www.cstimes.com/news/articleView.html?idxno=500937
2022.06.02.,[2일 인천시 소식] ITF 인천국제여자테니스투어대회 개최 등,아시아타임즈,인공지능(AI) 기반 스마트공장 모델 제시 인천광역시는 남동구 소재 천일엔지니어링(주)이 중소벤처기업부의 ‘K-스마트 등대공장 지원사업’에 최종 선정됐다고 밝혔다. 이 사업은 국내 제조업의 고도화 방향을...,https://www.asiatime.co.kr/article/20220602500209
2022.06.02.,"인천시, 공공심야약국 16개로 확대 어디서든 15분 이내 이용가능",아주경제,"인천시, 인공지능(AI) 기반한 스마트공장 모델 제시한다 [사진=인천시] 인천광역시는 남동구 소재 천일엔지니어링이 중소벤처기업부의 ‘K-스마트 등대공장 지원사업’에 최종 선정됐다고 2일 밝혔다. 이 사업은 국내...",https://www.ajunews.com/view/20220602103709942
2022.05.30.,'한국형 등대공장' 11개사 선정···'동진쎄미켐·진합' 등,헬로디디,"선정된 기업은 ▲동진쎄미켐▲두산공작기계▲삼보에이앤티▲삼보프라텍 ▲삼현▲신성델타테크▲씨큐브 ▲제이브이엠▲진양오일씰▲진합▲천일엔지니어링으로 중소기업 5개사, 중견기업 6개사다. 업종은 자동차...",http://www.hellodd.com/news/articleView.html?idxno=97053
2022.06.23.,외신도 주목한 K-스마트공장 왜?…中企 정책지원 '관심',뉴스1,"최근 중기부는 삼현과 함께 동진쎄미켐, 두산공작기계, 삼보에이앤티, 삼보프라텍, 신성델타테크, 씨큐브, 제이브이엠, 진양오일씰, 진합, 천일엔지니어링 11개 기업을 K-스마트등대공장으로 선정한 바 있다. 중기부는...",https://www.news1.kr/articles/?4720903
2022.06.07.,"중기부, 스마트공장 구축 실행전략 착수·제조혁신기술 고도화 급물살",중소기업뉴스,"병원·약품 조제 장비를 생산하는 제이브이엠과 자동차 내외장재 생산·수출업체인 천일엔지니어링 등 자동차, 기계장비, 화학제품 등 업종에서 중소기업 5개사, 중견기업 6개사가 선정됐다. 이들은 미래형...",http://www.kbiznews.co.kr/news/articleView.html?idxno=91341
2022.05.31.,"창원 두산공작기계·삼현·신성델타테크, 중기부 ‘K-스마트 등대공장’ 선정",경남신문,"선정된 기업은 도내 두산공작기계(기계장비), 삼현(자동차), 신성델타테크(전기장비)를 비롯해 동진쎄미켐, 삼보에이앤티, 삼보프라텍, 씨큐브, 제이브이엠, 진양오일씰, 진합, 천일엔지니어링 등이다. 두산공작기계는...",http://www.knnews.co.kr/news/articleView.php?idxno=1377908
2022.02.22.,"소리만 요란했던 대규모 예타면제 사업들, 현주소는 느릿느릿",엔지니어링데일리,"8,000억원대 부산 신항-김해고속도로 건설 사업은 서영엔지니어링 컨소시엄-천일엔지니어링 컨소시엄-삼안 컨소시엄이 기본 및 실시설계를 수행 중에 있으며, 9,000억원대 제 2경춘국도 사업의 경우 올해 상반기...",http://www.engdaily.com/news/articleView.html?idxno=14406
2022.01.27.,김홍석 공학박사 “도개걸윷모에 담긴 우주철학... 전통놀이로 인생 배우죠”,중도일보,/ kcjhsh99@김홍석 천일엔지니어링 사장이 중도일보 스튜디오에서 윷놀이 시연을 하고있다. 사진=김홍석 윷놀이 장인이 윷판을 들어보이고 있다. 사진=현재 사용중인 윷판과 북극성 중심의 28수 윷판 &lt;출처=한국세시풍속사전...,http://www.joongdo.co.kr/web/view.php?key=20220127010005763
2021.12.01.,"무협-인천시, 스타트업 혁신 생태계 글로벌 확장 위해 '맞손'",글로벌경제,"한편, 이날 업무협약에 앞서 무역협회 이관섭 부회장은 인천 연수구 송도에 위치한 ㈜카네비컴을 방문해 자율주행 라이다(LiDAR) 생산현장을 둘러보고 카네비컴을 비롯해 셀트리온, 천일엔지니어링, 원일금속, 코멕스...",http://www.getnews.co.kr/news/articleView.html?idxno=562169
